Information_Type,PII_Type,Cluster_Membership_Type,NIST_Category,DHS_Category,HIPAA_Protected_Health_Information_Category,Risk_Level,GDPR_Category,GDPR_Sensitivity,GRPR_Likelihood,GDPR_Impact,GDPR_Importance_Weighting,GDPR_Risk_Score,Risk_Level_GDPR,Country,PII_Category,PII_Sensitivity_Score,PII_Likelihood_Score,PII_Impact_Score,PII_Importance_Weighting,PII_Risk_Score,Risk_Level_PII,Information Type Description ,GDPR Reference,GDPR Reference URL
Age,AGE,Basic Demographics,Linkable,Linkable,Not Protected Health Information,Semi-Identifiable,Personal Data,2,2,2,2,0.16,Very Low,Universal,Demographic Information,2,2,2,3,0.24,Low,�An age can be used to target someone for scams or discrimination.,[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
ABA Routing Number (Financial Accounts),ABA_ROUTING_NUMBER,Financial Information,Directly PII,Stand Alone PII,Not Protected Health Information,Identifiable,Personal Data,5,5,5,5,1,Very High,United States,Financial Information,4,4,4,5,0.8,High,�An ABA routing number can be used to make unauthorized withdrawals from someone's bank account.,[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
Australian Business Number,AU_ABN,Secure Identifiers,Directly PII,Stand Alone PII,Not Protected Health Information,Identifiable,Personal Data,5,4,4,4,0.69,High,Australia,Security Identifiers,5,4,5,5,0.93,High,�An Australian Business Number can be used to impersonate a business or commit fraud.,[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
Australian Company Number,AU_ACN,Secure Identifiers,Directly PII,Stand Alone PII,Not Protected Health Information,Identifiable,Personal Data,5,4,4,4,0.69,High,Australia,Security Identifiers,5,4,4,4,0.69,High,�An Australian Company Number can be used to impersonate a company or commit fraud.,[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
Australian Social Security Number,AU_MEDICARE,Secure Identifiers,Directly PII,Not Mentioned,Protected Health Information,Identifiable,Special Categories of Data (Sensitive Data),5,5,5,5,1,Very High,Australia,Security Identifiers,4,4,4,5,0.8,High,"�An Australian Social Security Number is a unique identifier that is assigned to all Australian citizens and permanent residents. It is used by the government and other organizations to track individuals' financial and social information. If this information is compromised, it could be used to commit identity theft or fraud.",[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
Birth Date,DATE,Basic Demographics,Linkable,Linkable,Protected Health Information,Semi-Identifiable,Personal Data,2,2,2,2,0.16,Very Low,Universal,Demographic Information,2,2,2,3,0.24,Low,�A birth date can be used to commit identity theft or fraud. It can also be used to track someone down or deny them services.,[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
Credit Card,CREDIT_CARD,Financial Information,Directly PII,Stand Alone PII,Protected Health Information,Identifiable,Personal Data,5,5,5,5,1,Very High,Universal,Financial Information,4,4,4,5,0.8,High,"�A credit card is a payment card that allows users to borrow money from a bank to make purchases. If a credit card number is compromised, it could be used to make unauthorized purchases.",[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
Crypto (Financial Accounts),CRYPTO,Financial Information,Directly PII,Linkable,Not Protected Health Information,Semi-Identifiable,Personal Data,5,5,5,5,1,Very High,Universal,Financial Information,4,4,4,5,0.8,High,"�Cryptocurrencies�are digital or virtual tokens that use cryptography for security. They are decentralized, meaning they are not subject to government or financial institution control.�If cryptocurrency information is compromised, it could be used to steal someone's cryptocurrency.",[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
Date,DATE_TIME,Basic Demographics,Linkable,Linkable,Protected Health Information,Semi-Identifiable,Anonymous Data,2,2,2,2,0.16,Very Low,Universal,Basic Identifier,2,2,2,3,0.24,Low,�A date can be used to track someone's movements or commit identity theft. It can also be used to plan or execute a crime.,[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
Driver's License,US_DRIVER_LICENSE,Financial Information,Directly PII,Stand Alone PII,Protected Health Information,Identifiable,Pseudonymous Data,5,5,5,5,1,Very High,Universal,Basic Identifier,3,3,3,4,0.48,Medium,"�A driver's license is a government-issued identification document that contains a person's name, address, date of birth, and driver's license number. If a driver's license number is compromised, it could be used to commit identity theft or fraud.",[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
Email Address,EMAIL_ADDRESS,Personal Preferences,Directly PII,Stand Alone PII,Protected Health Information,Identifiable,Personal Data,4,4,4,4,0.64,Medium,Universal,Online Identifier,3,3,3,4,0.48,Medium,"�An email address is a unique identifier that is used to send and receive electronic mail. If an email address is compromised, it could be used to send spam or phishing emails, or to take over someone's online accounts.",[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
Gender,GENDER,Basic Demographics,Linkable,Not Mentioned,Protected Health Information,Semi-Identifiable,Personal Data,2,2,2,2,0.16,Very Low,Universal,Demographic Information,2,2,2,3,0.24,Low,�Gender can be used to target someone for scams or discrimination.,[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
German ID Number (Personalausweis and Rentenversicherungsnummer),DE_ID_NUMBER,Secure Identifiers,Directly PII,Stand Alone PII,Protected Health Information,Identifiable,Special Categories of Data (Sensitive Data),5,5,5,5,1,Very High,Germany,Security Identifiers,4,4,4,5,0.8,High,"�A German ID number is a unique identifier that is assigned to all German citizens and residents. It is used by the government and other organizations to track individuals' financial and social information. If this information is compromised, it could be used to commit identity theft or fraud.",[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
GPS Location,LOCATION,Secure Identifiers,Linkable,Not Mentioned,Protected Health Information,Semi-Identifiable,Anonymous Data,3,3,3,3,0.36,Low,Universal,Geolocation Data,4,3,3,4,0.53,Medium,�A GPS location can be used to track someone's movements. This information could be used to stalk someone or commit a crime.,[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
Health Insurance ID,HEALTH_INSURANCE_ID,Secure Identifiers,Directly PII,Not Mentioned,Protected Health Information,Identifiable,Special Categories of Data (Sensitive Data),5,5,5,5,1,Very High,Universal,Healthcare Information,5,4,4,4,0.69,High,"�A health insurance ID is a unique identifier that is used to identify someone's health insurance policy. If a health insurance ID is compromised, it could be used to make unauthorized medical claims.",[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
