Information_Type,PII_Type,Cluster_Membership_Type,NIST_Category,DHS_Category,HIPAA_Protected_Health_Information_Category,Risk_Level,GDPR_Category,GDPR_Sensitivity,GRPR_Likelihood,GDPR_Impact,GDPR_Importance_Weighting,GDPR_Risk_Score,Risk_Level_GDPR,Country,PII_Category,PII_Sensitivity_Score,PII_Likelihood_Score,PII_Impact_Score,PII_Importance_Weighting,PII_Risk_Score,Risk_Level_PII,Information Type Description ,GDPR Reference,GDPR Reference URL
Address,ADDRESS,Contact Information,Linkable,Not Mentioned,Protected Health Information,Semi-Identifiable,Personal Data,3,3,3,3,0.36,Low,Universal,Contact Information,3,3,3,3,0.36,Medium,"�An address can be used to track someone down, send them unwanted mail or packages, or commit identity theft.",[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
Age,AGE,Basic Demographics,Linkable,Linkable,Not Protected Health Information,Semi-Identifiable,Personal Data,2,2,2,2,0.16,Very Low,Universal,Demographic Information,2,2,2,3,0.24,Low,�An age can be used to target someone for scams or discrimination.,[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
ABA Routing Number (Financial Accounts),ABA_ROUTING_NUMBER,Financial Information,Directly PII,Stand Alone PII,Not Protected Health Information,Identifiable,Personal Data,5,5,5,5,1,Very High,United States,Financial Information,4,4,4,5,0.8,High,�An ABA routing number can be used to make unauthorized withdrawals from someone's bank account.,[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
Australian Business Number,AU_ABN,Secure Identifiers,Directly PII,Stand Alone PII,Not Protected Health Information,Identifiable,Personal Data,5,4,4,4,0.69,High,Australia,Security Identifiers,5,4,5,5,0.93,High,�An Australian Business Number can be used to impersonate a business or commit fraud.,[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
Australian Company Number,AU_ACN,Secure Identifiers,Directly PII,Stand Alone PII,Not Protected Health Information,Identifiable,Personal Data,5,4,4,4,0.69,High,Australia,Security Identifiers,5,4,4,4,0.69,High,�An Australian Company Number can be used to impersonate a company or commit fraud.,[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
Australian Social Security Number,AU_MEDICARE,Secure Identifiers,Directly PII,Not Mentioned,Protected Health Information,Identifiable,Special Categories of Data (Sensitive Data),5,5,5,5,1,Very High,Australia,Security Identifiers,4,4,4,5,0.8,High,"�An Australian Social Security Number is a unique identifier that is assigned to all Australian citizens and permanent residents. It is used by the government and other organizations to track individuals' financial and social information. If this information is compromised, it could be used to commit identity theft or fraud.",[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
Birth Date,DATE,Basic Demographics,Linkable,Linkable,Protected Health Information,Semi-Identifiable,Personal Data,2,2,2,2,0.16,Very Low,Universal,Demographic Information,2,2,2,3,0.24,Low,�A birth date can be used to commit identity theft or fraud. It can also be used to track someone down or deny them services.,[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
Country of Citizenship,COUNTRY_OF_CITIZENSHIP,Basic Demographics,Linkable,Linkable,Protected Health Information,Semi-Identifiable,Personal Data,3,3,3,3,0.36,Low,Universal,Demographic Information,2,2,2,3,0.24,Low,�A country of citizenship can be used to track someone down or deny them services. It can also be used to discriminate against someone.,[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
Credit Card,CREDIT_CARD,Financial Information,Directly PII,Stand Alone PII,Protected Health Information,Identifiable,Personal Data,5,5,5,5,1,Very High,Universal,Financial Information,4,4,4,5,0.8,High,"�A credit card is a payment card that allows users to borrow money from a bank to make purchases. If a credit card number is compromised, it could be used to make unauthorized purchases.",[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
Credit Card Number,CREDIT_CARD_NUMBER,Financial Information,Directly PII,Stand Alone PII,Protected Health Information,Identifiable,Personal Data,5,5,5,5,1,Very High,Universal,Financial Information,4,4,4,5,0.8,High,"�A credit card number is a payment card that allows users to borrow money from a bank to make purchases. If a credit card number is compromised, it could be used to make unauthorized purchases.",[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
