id,name_prompt,prompt,keywords
638f3f81-0082-4df9-929f-e7b120d4f954,Informe Pericial: estado actual,"a)	Haz una redacción extensa con el mismo formato a este ejemplo que te pongo a continuación pero con los datos de los informes dados y describiendo solo la exploración física patológica de los órganos y aparatos que estén lesionados en el paciente con sus respectivas exploraciones físicas biomecánicas;
“Tras el examen de la documentación antes referida, el perito mantiene el 21/11/2018, la entrevista con el paciente. De esta entrevista se extrae las siguientes conclusiones:
Don José es una persona que no padece de antecedentes personales patológicos previos a este incidente.
Resalta una leve cojera a la deambulación al entrar en la consulta, pero no se aprecia ningún otro síntoma a la inspección visual. Su actividad física en la actualidad es limitada debido a su enfermedad, solo moviéndose con dificultad y no realizando actividades lúdicas físicas.
Exploración Física:
Paciente con buen estado general, orientado, con un aspecto físico bueno. A la inspección presenta buena coloración de piel y mucosas y buen estado de cuidado personal y de nutrición.
-	PIE  DERECHO:
Se  aprecia pie varo con apoyo talar y del 5º y 4º metatarso dejando una falta de apoyo del 1º,2º y 3º  metatarso y lesiones dérmicas de sobreapoyo de aquella zona.
El tobillo posee dos unidades funcionales de movimiento: 
•	Flexión dorsal-plantar: 60º de amplitud media (20º F. dorsal, 40º F. plantar). La flexión dorsal realiza 17º y la flexión plantar 30º.
•	Inversión-eversión (prono-supinación): 50º de amplitud media (30º inversión, 20º eversión). El paciente no realiza ningún grado de movilidad. Sufre de una anquilosis de estos movimientos.
Se aprecia edema maleolar derecho y tiene dolor a la palpación en dicha región. Se observa deformidad del mismo con tendencia al varo. Conservación del pulso pedio.”
","estado,actual,limitaciones,secuelas"
19eb22da-a416-4909-936b-bc61e8ebc3ab,Informe Pericial: Consideraciones Médico-Legales (I),"Haz una redacción con forma de redacción jurídica de estilo expositivo sin apartados y con párrafos bien estructurado, completo y profesional, todo lo extenso, completo, profesional y detallado que se pueda, describiendo claramente el historial médico del paciente y explicando científica y medicamente de manera exhaustiva su patología y todos los términos médicos que aparezcan, su condición actual y el impacto de sus problemas de salud en su vida y capacidad laboral. Que sea lo más extensa y detallada posible, describiendo todos los detalles médicos, de tratamiento o de afectación o limitación física provocado  por las patologías que aparecen, explicando las consecuencias presentes y posibles complicaciones futuras de sus patologías en el trabajo y describiendo ejemplos de tareas que no pueda realizar, con un hilo temporal lógico y cronológico de fechas más antiguas a más recientes y relacionando los párrafos entre ellos con tecnicismos médicos. Describe los tratamientos que ha ido haciendo con sus posibles efectos adversos que pueden tener. E incluye argumentos justificativos de la literatura médica como estudios científicos (escritos entre paréntesis directamente con la referencia del articulo o literatura sin número y seguida del hecho al que se refiera) para darle una incapacidad laboral, diciendo las conclusiones de eso estudios (buscar en documentación médica como Scielo o Pubmed), sin mencionar específicamente o afirmar categóricamente en el informe que tiene dicha incapacidad. Escribe ejemplos de cómo influyen sus síntomas en las actividades o funciones laborales del paciente para agregar credibilidad y profesionalismo al informe.


","consideraciones,explicaciones,medico,justificantes,incapacidad."
168800d9-a4be-4614-8d95-977ed96fe21e,informe pericial. consideraciones médico-legales (ii),"Haz una redacción meticulosa y exhaustiva sin apartados de todos los criterios de cada una de la Guía de Valoración Profesional del Instituto Nacional de la Seguridad Social (INSS), la Guía de Valoración de Incapacidad Laboral para Médicos de Atención Primaria y el Manual de Actuación para Médicos del INSS para otorgarle la incapacidad total o absoluta a este paciente con las patologías que tiene, desarrollando extensamente la explicación y poniendo ejemplos. Explica también las secuelas o complicaciones que pueden causarle sus patologías. E incluye argumentos justificativos para darle una incapacidad laboral como elementos visuales y referencias a la literatura médica basándote en estudios científicos ya hechos con ejemplos de cómo influyen sus síntomas en las actividades o funciones laborales del paciente para agregar credibilidad y profesionalismo al informe.","consideraciones,explicaciones,medico,justificantes,incapacidad"
57639e3f-5ab5-48e5-bab1-17d6e5cd6304,informe pericial. consideraciones médico-legales (iii),"Haz una redacción con forma de redacción jurídica de estilo expositivo sin apartados y con párrafos bien estructurado, completo y profesional, todo lo extenso, completo, profesional y detallado que se pueda, explicando las patologías de manera científica y medica en relación con su condición actual y el impacto de sus problemas de salud en su vida y capacidad laboral. No tiene que explicar de manera extensa el suceso clínico del paciente. Dar las explicaciones sean más extensas y que haya ejemplos con explicaciones biomecánicas de algún movimiento de su trabajo que no pueda realizar. Que sea lo más extensa y detallada posible, describiendo todos los detalles médicos, de tratamiento o de afectación o limitación física provocado  por las patologías que aparecen, explicando las consecuencias presentes y posibles complicaciones futuras de sus patologías en el trabajo y describiendo ejemplos de tareas que no pueda realizar. 
Hazlo con un hilo temporal lógico y cronológico de fechas más antiguas a más recientes y relacionando los párrafos entre ellos con tecnicismos médicos. 
Describe los tratamientos que ha ido haciendo con sus posibles efectos adversos que pueden tener. 
E incluye argumentos justificativos de la literatura médica como estudios científicos (escritos entre paréntesis directamente con la referencia del articulo o literatura sin número y seguida del hecho al que se refiera) para darle una incapacidad laboral, diciendo las conclusiones de eso estudios (buscar en documentación médica como Scielo o Pubmed o Google Académico), sin mencionar específicamente o afirmar categóricamente en el informe que tiene dicha incapacidad. Escribe ejemplos de cómo influyen sus síntomas en las actividades o funciones laborales del paciente para agregar credibilidad y profesionalismo al informe.
","consideraciones,explicaciones,medico,justificantes,incapacidad."
36d2519c-0a52-40cc-803e-ec5a1ef1542f,PROMPTS: copiar exactamente igual el texto,Cópialo exactamente igual en formato y en la información que ya tiene sin quitarle absolutamente ninguna parte del texto,promptscopiartextoigual
c1993c8e-8428-4f07-91d7-df323e32b695,PROMPTS: Añadir información manteniendo el formato igual,"Añádele al informe, manteniéndolo exactamente igual en formato y en la información que ya tiene sin quitarle absolutamente ninguna parte del texto, explicaciones más extensas de la sintomatología y de la patología que padece y que haya ejemplos con explicaciones biomecánicas de alguna tarea de su trabajo que no pueda realizar aplicadas a las diferentes patologías que padece. Que sea lo más extensa y detallada posible, describiendo todos los detalles médicos, de tratamiento o de afectación o limitación física provocado por las patologías que aparecen, explicando las consecuencias presentes y posibles complicaciones futuras de sus patologías en el trabajo y describiendo ejemplos de tareas que no pueda realizar. Escríbelo en tercera persona del singular. E incluye argumentos justificativos de la literatura médica como estudios científicos (escritos entre paréntesis directamente con la referencia del articulo o literatura sin número y seguida del hecho al que se refiera) para darle una incapacidad laboral, diciendo las conclusiones de eso estudios (buscar en documentación médica como Scielo o Pubmed o Google Académico), sin mencionar específicamente o afirmar categóricamente en el informe que tiene dicha incapacidad.",promptsañadirinformaciónmanteniendoformato
ad2d3f1d-0f67-4981-98d1-af9fe2d05208,PROMPTS: Combinar periciales I,"Hazme una consideración médico-legal teniendo como principal informe el primero que se le indica “formatear este texto” e incorporándole extractos o datos que se puedan aplicar y que puedan enriquecer a dicho informe con las explicaciones médico-legales todo lo extensas que se puedan de las patologías sacadas del segundo informe, pero siempre en relación con las patologías que tiene el enfermo del principal informe el primero que se le indica “formatear este texto”  y no añadiendo nuevas patologías del segundo informe que dice “usa este ejemplo”, fusionándolos e integrándolos como si fueran parte de la sintomatología y patología del paciente de “formatear este texto” y no escribiéndolo en tercera ni en primera persona, y como si fuera una única consideración médico-legal sin mencionar nunca al paciente del segundo informe que dice “usa este ejemplo. Hazlo manteniendo exactamente idéntico  y absolutamente todos los datos y explicaciones del primer informe “formatear este texto” solo que incorporándole todos los datos del segundo “usa este ejemplo”. Hazlo como mínimo igual de extenso que el primer informe, redactándolo sin apartados y con terminología médica y científica. ",combinarpericiales
add14cb9-561e-4426-9507-b6ec5d4dbcb0,PROMPTS Resumen informes,"Resume al máximo que se pueda con la fecha de creación de este informe
","Historia,salud,informes,clínica,patologías"
5482eabc-083a-41dd-af53-b580486175b6,Informe Pericial: Antecedentes (Informes en los que se basa),"Diferenciando y separando CADA informe y TODOS los informes, redacta un resumen lo más conciso posible de cada apartado que contenga el informe, sin puntos aparte ni viñetas, indicando la fecha de creación de este. Comienza cada resumen con la frase “Informe de fecha”, seguido del lugar de asistencia médica o el lugar donde se elaboró el informe, y el servicio médico en el que se atiende al paciente. Si un informe incluye otros informes con fechas diferentes, también debes reflejarlos como informes independientes. Utiliza puntos aparte y numeración. LO MÁS IMPORTANTE ES QUE SE REDACTE EN ORDEN CRONOLÓGICO, DE LAS FECHAS MÁS ANTIGUAS A LAS MÁS RECIENTES.","Antecedentes, historial médico"
66d2d9a9-844e-4ac2-8809-b5847e5c746a,Informe Pericial: Antecedentes (Párrafo explicativo debajo de informes en los que se basa),"Redacta, con los informes adjuntados, una redacción sin apartados, extensa y detallada, y muy exhaustiva sin faltarle ningún detalle, con un hilo temporal lógico y cronológico de fechas más antiguas a más recientes, SIN ESCRIBIR LAS FECHAS NECESARIAMENTE AL PRINCIPIO DE LOS PÁRRAFOS, PERO SÍ MENCIONANDO LAS MÁS RELEVANTES con el día, el mes y el año, y relacionando los párrafos entre ellos con tecnicismos médicos y explicando todo científicamente incluido la patología que sufre. Describe los tratamientos que ha ido haciendo.
Escríbelo con forma de redacción jurídica de estilo expositivo sin apartados y con párrafos bien estructurado, completo y profesional, todo lo extenso, completo, profesional y detallado que se pueda, explicando las patologías de manera científica y medica en relación con su condición actual y el impacto de sus problemas de salud en su vida. HAZLO DE UNA MANERA QUE PUEDAS RELACIONAR LOS PÁRRAFOS DE MANERA MÁS FLUIDA Y SIN SALTOS BRUSCOS EN LOS CONCEPTOS.
","Antecedentes,párrafo,explicativo,historial,médico"
