Show,Industry,Product
CAI,IT Infrastructure & Hardware,Semiconductor Technologies
CAI,IT Infrastructure & Hardware,Storage Technologies
CAI,IT Infrastructure & Hardware,Networking Technologies
CAI,IT Infrastructure & Hardware,Server Technologies
CAI,IT Infrastructure & Hardware,Edge Computing
CAI,Cloud and AI Infrastructure Services,Hyperscale Cloud Solutions
CAI,Cloud and AI Infrastructure Services,Cloud Service Provider
CAI,Cloud and AI Infrastructure Services,Compute-as-a-service
CAI,Cloud and AI Infrastructure Services,Storage-as-a-service
CAI,Cloud and AI Infrastructure Services,Network-as-a-service
CAI,Cloud and AI Infrastructure Services,Colocation Services
CAI,Cloud and AI Infrastructure Services,Domain / Website Hosting
CAI,MSPs & Consulting,Managed Service Providers (MSPs)
CAI,MSPs & Consulting,Resellers/ distributors
CAI,MSPs & Consulting,Tech Consultancies
CAI,Platforms & Software,Cloud and AI Managemnent Tools
CAI,Platforms & Software,Cost Management Tools
CAI,Platforms & Software,IT Service Management Tools
CAI,Platforms & Software,DevOps Tools
CAI,Platforms & Software,Cloud Security Solutions
CAI,Platforms & Software,Big Data & Analytics Tools
CAI,Platforms & Software,AI Applications
DOL,Application Delivery & Runtime,Application Delivery
DOL,Application Delivery & Runtime,Runtime Platforms
DOL,CI/CD & Automation,CI/CD Pipelines
DOL,Infrastructure & Provisioning,Configuration Management
DOL,Infrastructure & Provisioning,Database Platforms
DOL,Infrastructure & Provisioning,Declarative Infrastructure
DOL,Managed Services / Consulting,Managed Services / Consulting
DOL,"Monitoring, Logging & Observability",Metrics & Monitoring
DOL,"Monitoring, Logging & Observability",Site Reliability Engineering (SRE)
DOL,"Security, Testing & Compliance",App Security & Complaince
DOL,"Security, Testing & Compliance",Testing Automation 
CCSE,Application Security,Application Security
CCSE,Application Security,Application & Cloud Security
CCSE,Application Security,DevSecOps & CI/CD Security
CCSE,Application Security,Identity & Access Management
CCSE,"Data, Development & Platforms Security",Data Encryption & Security 
CCSE,"Governance, Risk and Compliance",Disaster Recovery
CCSE,"Governance, Risk and Compliance",Risk & Compliance Management
CCSE,"Governance, Risk and Compliance",Infrastructure & Endpoint Security
CCSE,"Governance, Risk and Compliance",Network & Cloud Security 
CCSE,Managed Services & Consulting,Managed Services
CCSE,Managed Services & Consulting,Security Consultancy
CCSE,"Threat Detection, Response & Intelligence",Incident Monitoring & Response
CCSE,"Threat Detection, Response & Intelligence",Offensive Security & Automation
CCSE,"Threat Detection, Response & Intelligence",Threat Intelligence & Analytics 
BDAIW,AI & ML Platforms,Cloud AI Platform
BDAIW,AI & ML Platforms,ML Framework 
BDAIW,AI & ML Platforms,Applications & AI Tools
BDAIW,AI & ML Platforms,Specialist Application
BDAIW,AI & ML Platforms,Business Intelligence
BDAIW,Data Management,Data Analytics & Integration
BDAIW,Data Management,Data Lake
BDAIW,Data Science & Processing,Analytics Platforms
BDAIW,Data Science & Processing,Data Mining
BDAIW,Data Science & Processing,Data Processing 
BDAIW,"Security, Governance & Compliance","Security, Governance & Compliance"
BDAIW,Supporting Services,Consulting
BDAIW,Supporting Services,Data training & culture
DCW,Building Equipment,Electrical Systems
DCW,Building Equipment,Handling Equipment 
DCW,Building Equipment,Structural Components
DCW,Cooling & Environment,Cooling
DCW,Cooling & Environment,Environmental
DCW,Cooling & Environment,Fire & Safety
DCW,Cooling & Environment,Networking
DCW,Cooling & Environment,Server OEM
DCW,Cooling & Environment,Storage 
DCW,Data Centre Security,Risk & Cybersecurity
DCW,Data Centre Security,Security Systems
DCW,Power & Energy,Energy Storage
DCW,Power & Energy,Power Generation & Distribution
DCW,Software & Services,Facilities Management
DCW,Software & Services,Consultancy
DCW,Software & Services,Design & Build
DCW,Software & Services,Infrastructure Management
DCW,Software & Services,Other Services
